0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
1000000,17362642,45476603,82054598,92666912,80100032,75581760,75295296,63426466,63046617,51977600,28044684,41107456,70380819,73744384,47050858,7995392,27148288,67485696,37287488,54809824,32260096,52559872,63097222,61747507,60309504,37257216,30408704,41017344,42169664,41481536,27210272,52035584,62585280,37887648,38985312,36732928,14221312,62488576,56330368,41775744,47083200,22849662,16990208,37966926,58186933,60009065,45055680,33632192,23337088,15345632,9250493,3630766,11991808,11129088,10048576,47959400,47485597,26891444,27968896,19321158,12932164,11155392,26841824,38052283,58806422,51681374,43481593,39567904,35618816,35358656,35129504,31662065,23492416,44481505,20691072,11855040,36309088,29065216,43766240,31054368,44162976,36392928,7751360,36552256,40435872,38684032,39912384,24082112,9493226,64749568,41255168,27073281,7562560,26251380,17256744,12804736,17843468,17395923,16749824,20296320,26182720,21460267,17412004,17728896,14538261,15242250,15798560,20090592,18192608,15927968,6966464,7466677,15729152,19607223,16337760,16063200,23125856,22560128,23342176,17529702,25032296,19868480,22517952,17652864,17722880,19163168,13781952,22705198,23395264,13304792,11533280,18888864,16617014,11206656,8398656,1000000,8185888,3732928,29528064,17053149,19692115,21309341,21645824,27212499,8235467,25988320,14554629,16119255,29584736
1000000,28136288,42676907,46710806,49115328,60162048,65917952,56494912,62360679,49805312,51943079,50370880,20230393,48823991,66631680,46591776,42605216,28992735,57122594,59278496,48715296,50527104,26024535,47249553,47661056,71362877,53892740,45712975,38545792,21976536,59807328,68455271,62027328,19890176,58818560,64095648,32210386,63012864,63733760,55765344,50499936,20955136,34308096,67647424,62291968,66028012,51572160,30474240,27328512,51183616,67878912,49774912,42672640,51619836,10782910,14057472,19234816,55312384,65978368,52688704,26443776,56270464,32731108,24385441,19443552,18575040,23741376,13768183,24835107,21107980,17023871,25446208,12574944,51305750,26161681,39673280,34250752,34647136,43321184,32660096,24080783,20820212,23907904,35198208,41228211,33948828,40857472,38240064,53374432,34509106,27033600,61222694,47173274,48619243,49113126,28137481,50687136,36052448,48558784,48053226,31415703,47261024,28685440,20580032,14306240,26933034,14475819,10568320,11010464,20950569,43723467,25801526,18859339,17458048,26361670,28991551,20938880,37727488,34553792,16623088,13877248,27585473,47522080,24913952,32618688,27587488,14155776,31850496,48201728,37188187,24753041,35894217,30032720,28588851,28285661,35080352,32718289,28217593,24659916,27930560,28724704,27897625,30940707,37449449,47281472,30011776,30441472,59965440,65568768,66224128
1000000,20936928,42100736,47563796,48619755,55181728,47983616,40206513,40228672,40520552,40064832,40465070,40145009,40507332,36821045,38822400,40929118,44429741,40601760,39968671,40470102,40279072,40339724,40182998,40447680,40240079,27114794,40042496,53763232,40063584,40470902,31841728,38764544,49947648,40531040,40292283,30382528,42942464,47698656,40345337,31299936,17858560,40788139,58172220,53262560,40504288,20349440,7856463,40410586,58376192,58768191,39278396,27105438,27084556,26060019,30614038,22991488,21319968,20953926,15954706,13178048,12218272,11258496,8907584,7085088,4831232,1000000,1000000,1000000,1000000,37561088,40817617,39374272,40321760,39676832,40752960,40736576,35627392,45152608,39185536,40911200,40282309,40814542,27458432,42074112,51174624,39819072,30503960,37400696,38780928,55032903,39826770,40347296,35541792,28147712,41109408,21837600,33423360,51015360,37485184,38503512,39255895,19236928,57021504,34005898,24664128,38655039,23535232,29333120,25166257,22901365,19632064,22053280,23614913,24708260,24739520,23011612,23888880,23715264,23367680,23530688,22091348,21122080,25667555,24393408,27337440,25390112,23166656,29788992,27435744,18040384,27984480,25001984,31915968,23614272,22264327,22441545,23312928,23818357,23928120,24871840,24382624,20706557,30648128,27948972,27437746,26015455,31425984,35255232,32095872
14489522,38444736,36336847,36303584,41850938,40096479,36899520,35758190,24080672,20270865,18047647,21417024,21546453,17973333,18041632,14860352,3095008,28178592,3752832,22893106,25389357,23282656,31963776,44688896,43254505,37296016,34940160,31468595,32530322,38119808,46059732,52500660,48726441,50410026,31721344,22732672,32622577,38412236,25261472,44536327,57270198,39752064,42100320,48344672,49175432,43269893,49940704,51019104,38783616,56672672,44529440,45751592,54642528,56168968,34633910,59342848,61538304,57884672,43510262,36306944,44466176,58425344,56754176,49577984,32276971,37442114,60522496,41844971,39769216,32431407,42024960,41391680,37590912,27196579,26792648,40124416,40435628,30724484,37207072,33775456,37404672,41563337,40567150,34231520,27708259,36900900,28631872,31135680,31784800,27815584,9961472,51012800,31122624,25979072,27275584,23635264,34646560,34770048,26855000,27039936,28881969,21619840,21929056,23949824,27711968,31323172,30362426,27344896,25676704,22468672,21832000,21050368,19456447,25464920,13066912,47481376,32625472,28200160,30270688,27768519,30500164,35608768,42614784,22701856,52838400,33803616,39268416,37890080,37565568,35574816,33406176,33979040,36284643,41686838,32100507,36924156,30872544,32063168,34197909,29580051,32047104,36681289,31669728,30306560,26917728,35511680,33573312,27856480,26344896,7760416
16229459,25536512,28002109,30859819,21330752,18516128,12229472,9694400,15410336,27553120,21670656,23967232,17587500,8496808,17695353,15751720,17911808,15011442,16517865,14035780,15543237,3921454,28655616,1778610,32254944,22781408,21762112,26410752,30524995,23283072,10351791,15259360,30865294,26900896,28373909,19251756,18966454,23930944,19264703,41491763,30554816,29766265,34342822,33089950,32759040,31277709,33559016,34930930,33216320,15701152,42017182,50414638,28608352,27099136,48255872,30884960,32039264,24412131,27980108,28480544,25466848,25752967,18996224,25671104,24156160,25011539,28599168,25246592,24381376,26690816,25122749,25279967,25785984,2327848,33272992,23435499,20619008,16359352,15992280,14721408,10955296,8778176,1288736,23478161,13198907,13606214,13911360,12927872,11836700,16176207,17539968,18408872,23733524,14393170,35353702,31254038,34034304,36512543,29608872,38202053,33616672,27182926,26770477,19905825,20635744,18109794,18818080,23983616,23566368,23977929,30870473,27931323,30536992,22025120,25428832,27891552,28059360,26887872,26710464,26888727,26325621,27016800,28096575,27777952,27238150,7468768,26123808,32296416,1000000,25054236,16678080,15587648,17692608,21221664,21896704,14679520,15110073,18223887,17827616,13559424,12126624,14062112,10166208,13116448,13265366,17897656,25408672,27695584,23612864,25277440
1000000,37830272,59899140,56245216,71632784,76421440,74945728,59851476,60763483,65666810,50022092,66145120,43696128,58195968,50223216,41560184,28965722,44444128,24759168,35780548,54039136,53485522,58010144,20807680,49348804,65404928,66763572,65995211,28704768,33062617,59834368,60386274,63375472,84228804,62183064,61069792,55686278,52953088,37208064,28950528,42784991,56229888,62813533,47316992,29429002,48184376,56992095,60129280,49168384,24543232,44805893,60391424,60363828,52710886,30672943,46331131,61849600,56836096,45632959,29229056,47790766,58137830,60091067,48399088,32521993,43794432,60936695,56205645,44639552,19922944,6330554,49446912,47021760,21816032,19305622,16543647,36159392,29652875,29855135,31243328,34695960,27559303,19746493,27213677,25262976,32066301,30817889,28895136,25753990,28241681,31141536,28161374,24714890,30594333,25743552,30797069,26026944,23892160,22414752,22034976,23376032,24307136,26592063,26000912,24253794,24477248,24618624,22691491,22738688,22035180,1000000,39225318,20377177,20454041,29644851,25965883,28739360,32821312,35196547,32399151,54329344,61149474,56632096,44732736,32571195,34388395,57434202,57054721,57637888,35995648,33095680,63441169,58315520,44596192,32900224,28381474,61763907,56971060,53849113,39976960,22052864,28344320,59047936,59768832,40035228,35539667,53444608,55377920,58736640,41295536
28185497,49386602,37970048,37161664,24875380,37501117,28512896,28092320,26075712,22922432,19474240,23991976,19301093,34879840,33361070,33162378,29147616,23530688,18142113,13997632,11572020,11604000,17836736,13662912,12142784,4194976,15119168,7322336,4890752,10606033,10395387,11840832,12746688,14055960,13715584,10019235,7702880,11722208,12017326,12783119,14159536,14741728,15706426,17140960,20705696,18872832,22715140,23378880,21649169,21492096,13814304,8252291,11723147,8875232,13162272,15124160,21595584,20694080,23168031,23359392,22337184,25260652,34618944,38585792,46984064,42046465,38737745,36008375,28246208,30758656,23564288,26110558,33740947,33701733,32364211,39768632,29992160,43025056,43169184,41140128,42371100,39952672,30101280,27397221,40376896,45621482,28793145,39632896,30994176,36491200,53641216,42064815,34045952,55695759,55379168,25052576,36537414,32784400,52641792,51544064,54640640,41901138,39813120,46445933,53248000,55584479,42969049,37978112,41664512,52703776,52690944,41304064,37884924,46287664,53383303,51937280,41484288,40140800,6946816,41222144,54296576,33029882,20037632,19008064,54193230,56072968,36864000,34373632,41205760,52487664,61009489,42559039,39518208,37552128,51560448,52871168,43548672,36647128,42132628,51773440,42097550,35422208,34537472,40173568,51628460,50821498,47446358,38611244,37048504,49037312
7558693,28308000,32018029,31013445,28032608,25617792,23679552,26749501,24361056,27186464,23261088,19425374,13664960,18904352,9306592,29850112,27186464,26711968,22894432,28204723,26113664,25453293,22124000,23924235,19482368,34703151,33147140,33269973,32351744,47546368,44662304,37428096,44243564,41962858,44492083,46866194,30539776,46202880,44579644,39234978,33259028,37950526,36602304,35725312,34156947,34897920,41706218,53624832,43432896,37331276,24936928,41060164,44635140,31322458,31479368,33161609,33602336,33980992,32513760,34941024,31035392,38061906,32249977,34714656,30678784,28447296,36639167,31007168,40015456,51579812,29911392,37573317,50561024,53723136,55083008,41737462,30176736,47710208,52261850,54558720,43329857,35520512,42850461,54646134,54247424,44384256,36339712,43089920,52428800,55214080,46956544,24946368,18195980,17804384,16095039,15340448,17917408,18516128,18839648,10482349,17994922,33125760,27717568,25801878,16105833,17016519,24961729,30158225,29756668,26117792,28182761,10223616,53330898,30226349,30669485,19811136,24387772,26108028,31171360,23738597,16149013,35435616,37030752,28304928,21088383,18537696,29888288,28725472,32933914,37132064,34455735,30834688,28917792,25570528,27254921,24498066,22026720,22139552,19055328,20151528,19793824,19825568,19166974,10601504,7168543,5986338,41714688,30025248,19605312,22318193
13199207,64941248,62784448,58204192,56472864,55095456,47212352,44590385,33822782,61427724,52369137,37259540,27461957,25240416,53612384,39695552,38435200,39986624,23101440,51880759,40333933,39352000,36919848,32929760,20008488,58503480,36340052,39491008,31065888,31096832,48045216,34982240,35767840,31200448,27784704,39254176,28663872,29546197,21845685,36807736,57595840,46316908,39608775,48682090,56941952,57198336,50296576,34104928,46769408,30572544,33553646,64191167,62750720,60592975,34209792,35260860,57032704,62832640,59660019,27519871,33389970,56909389,65634205,58851328,30143935,30885722,63223543,56992095,59927063,36962304,36241408,59283564,62141117,61967856,30980356,32636928,52396032,66191360,63045632,36336143,32636796,54558720,61095936,60899328,48890117,7445781,27072063,59244544,64617577,45252608,41320448,53346304,64454656,61689606,47479159,30654464,37715968,57409536,60915712,49233920,22751008,54755328,55771136,57155395,49512448,38567936,36061184,58212352,57704448,40722669,26601449,49430528,59129856,56697478,45219840,29947131,55748155,57073393,58556416,51197954,33390592,31373965,60609342,57491456,52022070,38125568,43548672,59572224,58572800,31069314,35736472,49102848,60473344,65142784,52542432,45092827,32407191,56131584,59621376,53305894,38913537,33972896,31154976,27697966,35514618,39862272,53592064,61587456,62226432,53248000
1000000,33948032,48436427,48447039,49261312,49193046,47456608,48355456,47934880,40658381,31421117,27153902,34990542,25778893,23882634,20683712,22419936,30346176,21201710,20726006,19896480,23280192,30297216,26715488,29813440,27303200,26465600,23178944,19351264,17896480,18979200,11985422,26532608,25806720,33827555,27211552,27003136,22660704,25802592,22672352,24513248,31452160,25921504,33610368,36214720,32736671,35861845,38486016,37191680,41808896,33202976,37482741,21144920,36553558,44803811,37226624,38438880,31726528,37981248,38374233,36033025,33693408,31182912,34781728,39394205,32985824,26108416,47167551,31064064,51150848,45208839,53562816,43976360,34127872,39567360,51724288,53821440,47204251,14432352,27072063,50349229,53346304,48758784,31000295,43625065,49381376,52363264,49922048,31129600,40189952,50069504,50577408,46596096,32407552,42024960,51429376,53411840,49053696,39354368,36008791,52054870,52494336,55427072,37224448,30310400,47040575,52186074,51754453,39141376,34144256,50316428,53211172,50439463,27328512,36995072,52166656,51445760,49037426,34604844,33734656,54591488,51855360,51688983,39590566,31490048,50626560,52297728,54345728,27808607,38803347,51347456,51789824,54771712,32735232,34701312,51770821,51251251,54520583,36195683,33423360,49086464,51412992,51609600,38627612,32210386,50315264,21394720,34472704,38780928,35127296
